corruption,severity,rho,n
brightness,1,0.13080772152842574,246
brightness,2,0.12636131140850462,243
brightness,3,0.06848315812057497,236
brightness,5,0.0830050902920858,223
defocus_blur,1,0.13318694131364167,249
defocus_blur,2,0.2148043317745508,239
defocus_blur,3,0.13524249593224028,227
defocus_blur,5,0.06894342945190404,176
fog,1,0.22096304335408698,245
fog,2,0.200616054188249,237
fog,3,0.12241290138136264,226
fog,5,0.36320893329415227,165
gaussian_noise,1,0.31465549972308765,228
gaussian_noise,2,0.37924990652208745,193
gaussian_noise,3,0.39378977061511894,140
gaussian_noise,5,0.3240775908844276,96
"('brightness',)",pooled,0.3432671755923026,948
"('defocus_blur',)",pooled,0.4392440384429097,891
"('fog',)",pooled,0.4247932701079408,873
"('gaussian_noise',)",pooled,0.47542623940833234,657
